"groupId","groupDisplayName","groupAssignedLicensesDisabledPlans","groupAssignedLicensesSkuNames","userId","userPrincipalName","userDisplayName","userMail"
"0aae64af-d530-4e09-a758-076fd093d0e5","DnsAdmins","","Office 365 E3","","","",""
"419c2534-9a89-4b8b-9bc7-4a4464165bfd","Lic_Yammer_Beta_Users","Power Virtual Agents for Office 365 P2|Common Data Service for Teams_P2|Project for Office (Plan E3)|Common Data Service - O365 P2|Microsoft Bookings|Microsoft Kaizala Pro Plan 3|Whiteboard (Plan 2)|Information Protection for Office 365 ??? Standard|Insights by MyAnalytics|To-Do (Plan 2)|MICROSOFT FORMS (PLAN E3)|Microsoft Stream for O365 E3 SKU|Microsoft StaffHub|Power Automate for Office 365|Power Apps for Office 365|MICROSOFT TEAMS|Sway|Microsoft Planner|AZURE INFORMATION PROTECTION PREMIUM P1|Microsoft 365 Apps for Enterprise|SKYPE FOR BUSINESS ONLINE (PLAN 2)|Office for the web|SharePoint (Plan 2)|EXCHANGE ONLINE (PLAN 2)","Power BI (free)|Office 365 E3","655a0182-9054-4fd9-8c2f-f4ad56b65d53","user2@thefoggi.com","User 2","User2@thefoggi.com"
"419c2534-9a89-4b8b-9bc7-4a4464165bfd","Lic_Yammer_Beta_Users","Power Virtual Agents for Office 365 P2|Common Data Service for Teams_P2|Project for Office (Plan E3)|Common Data Service - O365 P2|Microsoft Bookings|Microsoft Kaizala Pro Plan 3|Whiteboard (Plan 2)|Information Protection for Office 365 ??? Standard|Insights by MyAnalytics|To-Do (Plan 2)|MICROSOFT FORMS (PLAN E3)|Microsoft Stream for O365 E3 SKU|Microsoft StaffHub|Power Automate for Office 365|Power Apps for Office 365|MICROSOFT TEAMS|Sway|Microsoft Planner|AZURE INFORMATION PROTECTION PREMIUM P1|Microsoft 365 Apps for Enterprise|SKYPE FOR BUSINESS ONLINE (PLAN 2)|Office for the web|SharePoint (Plan 2)|EXCHANGE ONLINE (PLAN 2)","Power BI (free)|Office 365 E3","595c6945-23a6-4223-8ac6-87088e0ba84e","user1@thefoggi.com","User 1","user1@thefoggi.com"
"7f07056e-e34d-4196-9cec-05dbd4cb6d17","AIP_P1","","AZURE INFORMATION PROTECTION PLAN 1|Power BI (free)","655a0182-9054-4fd9-8c2f-f4ad56b65d53","user2@thefoggi.com","User 2","User2@thefoggi.com"
"7f07056e-e34d-4196-9cec-05dbd4cb6d17","AIP_P1","","AZURE INFORMATION PROTECTION PLAN 1|Power BI (free)","595c6945-23a6-4223-8ac6-87088e0ba84e","user1@thefoggi.com","User 1","user1@thefoggi.com"
"8ff63507-8d21-4a59-9312-8d098a96ff84","Lic_Office365_E5","","Office 365 E5","d05059dd-bd41-4bb7-94ab-8a7fa4deccfc","dfoggi@thefoggi.com","Deivid de Foggi","dfoggi@thefoggi.com"
"d5935752-b2fb-47ba-802a-4718adf2b040","Lic_Office365_E3_NoYammer","YAMMER_ENTERPRISE","Office 365 E3","655a0182-9054-4fd9-8c2f-f4ad56b65d53","user2@thefoggi.com","User 2","User2@thefoggi.com"
"d5935752-b2fb-47ba-802a-4718adf2b040","Lic_Office365_E3_NoYammer","YAMMER_ENTERPRISE","Office 365 E3","7df5df07-7482-4fc9-8830-5db008709b87","user3@thefoggi.com","User 3","User3@thefoggi.com"
"d5935752-b2fb-47ba-802a-4718adf2b040","Lic_Office365_E3_NoYammer","YAMMER_ENTERPRISE","Office 365 E3","9937094f-0bf7-43df-bf85-225f2aa24c9f","user4@thefoggi.com","User 4","user4@thefoggi.com"
"d5935752-b2fb-47ba-802a-4718adf2b040","Lic_Office365_E3_NoYammer","YAMMER_ENTERPRISE","Office 365 E3","065de525-868a-4f20-bb0a-64918a09dd86","user_10-20@thefoggi.com","user_10-20","user_10-20@thefoggi.com"
